sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability
"Sie empfinden dann weder ein Bedürfnis nach Schlaf noch Hunger, denken in rasender Geschwindigkeit, sind kreativ und voll Schaffens- kraft.",C2,unknown,20,,,C2,85.02
Über fünfhundert Millionen solcher Prüfungen müssen Kinder und Erwachsene allein in den Vereinigten Staaten alljährlich über sich ergehen lassen.,C2,unknown,19,,,C2,60.65
"Es ist deshalb besser, ökologische Intelligenz statt ökologischer Effizienz in Gebäuden einzusetzen.",C2,unknown,12,,,C2,0.08
"Interessanterweise beteiligten sich ausschließlich Griechen an der Veranstaltung, was auf die kulturelle Besonderheit dieser Zusammenkunft hinweist.",C2,unknown,16,,,C2,29.86
"Ungeachtet der allgemeingültigen Meinung, dass die Zeit der Trabanten vorbei sei, tangiert dies eingefleischte Enthusiasten des Kultfahrzeugs kaum.",C2,unknown,18,,,C2,27.83
"Diese Entwicklung können wir heute schon bei allen Entscheidungen berücksichtigen, zum Beispiel bei der Einrichtung und dem Ausbau der Stationen für schnellen Internetzugang.",C2,unknown,23,,,C2,39.67
"Der Geruch entfaltete sich in der Wohnung und wir horchten auf die Einfahrt, um Renate an der Haustür zu empfangen.",C2,unknown,20,,,C2,68.1
"Das sind ganz gezielte Raubgräber mit mafiösen Strukturen, die ganz gezielt solche Grabhügel anfahren und dort ganz gezielt Raubgrabungen machen, um halt kommerziell das Ganze zu betreiben.",B2,475,27,48.0,161.0,C2,69.45
"So unbedacht gehen wir inzwischen mit der künstlichen Helligkeit um, dass sie unsere Gesundheit gefährdet.",C2,unknown,15,,,C2,64.71
Gasdichte Gebäude werden dadurch quasi zu Gaskammern.,C2,unknown,7,,,C2,81.29
"Es wurde sogar versucht, unsere völkerrechtswidrige Beteiligung mit dem Hinweis auf den millionenfachen deutschen Judenmord in Auschwitz zu rechtfertigen.",C2,unknown,19,,,C2,35.27
"Eine Ahnung von der entscheidenden Bedeutung kultureller Unterschiede hat die Intelligenz- forscher gelegentlich beschlichen, so zum Beispiel John C. Raven, der 1956 einen sogenannten Matrizentest entworfen hat, um sprachliche oder kulturabhängige Fehlerquellen bei der Messung auszuschließen.",C2,unknown,36,,,C2,44.75
"Jede Glasfassade, die neben die historischen Bauten gestellt wird, bringt die alte Stadt mehr und mehr zum Verstummen.",C2,unknown,18,,,C2,70.13
"Eigentlich müsste ich mich mit meinem Beruf nicht verstecken, könnte stolz auf ihn sein.",C2,unknown,14,,,C2,91.11
"Die Denkweise, Häuser als Maschinen, in denen Menschen leben, zu verstehen, wie es einmal ein Architekt des 20. Jahrhunderts ausgedrückt hat, hat fatale Auswirkungen.",C2,unknown,24,,,C2,67.76
"Was würde aus den Menschen von einer Maschine, wenn sich jedes Leid auf Knopfdruck beseitigen ließe?",C2,unknown,16,,,C2,72.16
"Wie würden Sie reagieren, wenn Ihnen zu Ohren käme, dass Kollegen dies tun?",C2,unknown,13,,,C2,83.66
"Im Verlauf ihrer Forschung entdeckten sie eine bemerkenswerte Erkenntnis, wie Andreas Hänel erklärt: „Nebenher führten wir auch indirekte Untersuchungen durch, indem wir beispielsweise den Energieverbrauch für Beleuchtung intensiv analysierten.“",C2,unknown,29,,,C2,25.12
"Wie eingangs bereits erwähnt, ist auch in amerikanischen Highschools und Univer- sitäten die Einnahme von Methylphenidat (Rita- lin) zur Leistungssteigerung weit verbreitet.",C2,unknown,22,,,C2,49.15
"Kim Peek, das Vorbild für den »Rain Man« aus dem gleichnami- gen Film mit Dustin Hoffman, kennt über 12 000 Bücher auswendig und kann sich den Inhalt einer Seite in knapp zehn Sekunden vollständig ein- prägen.",C2,unknown,36,,,C2,60.32
"Ihr Diplom erhalten Sie nach Abgabe Ihres Abschlusstextes, der im Jahrbuch der Akademie „Der Frankfurter literarische Lustgarten“ veröffentlicht wird.",C2,unknown,19,,,C2,60.65
Sollte die Gesellschaft eine solche Praxis dul- den?,C2,unknown,8,,,C2,105.66
"Man korrigiere mich, aber ich gehe fest davon aus, dass sich keine Schule mehr in Deutschland finden wird, bei der sich nicht irgendwo im Schulhaus eine Computerecke als Lernort finden lässt – ausgenommen der bewusste Verzicht auf Technologie aufgrund (überholter) pädagogischer Konzepte.",C2,unknown,42,,,C2,38.32
"Die meisten ihrer bahnbrechenden Arbeiten seien unter dem Einfluss von Wachmachern und kon- zentrationsfördernden Mitteln entstanden; nur so habe sie dem ungeheuren Druck standhalten können, in immer kürzerer Zeit neue Ergebnisse produzieren und große Summen Drittmittel ein- werben zu müssen.",C2,unknown,40,,,C2,22.42
"Da Ochsen auch als dumm galten, entwickelte sich wahrscheinlich so die Idee, dass ein Brett vor dem Kopf das Denken behindert.",A2,639,21,,,C2,75.54
"Im Besonderen steht hier das Upcycling im Fokus, was bedeutet, dass wir erstklassiges Design auf höchstem Niveau realisieren wollen.",C2,unknown,19,,,C2,43.73
"Es erwies sich als eine schier unmögliche Aufgabe, Max und Moritz zu reformieren und zu einem wohlerzogenen Verhalten zu bewegen.",C2,unknown,20,,,C2,51.18
"Heute weiß man, dass sich in bestimmten Hirn- bereichen neue Neurone aus Stammzellen bilden können.",C2,unknown,15,,,C2,81.63
"Hier haben wir es mit Generationen von Rauch- und Mehlschwalben zu tun, die sich wie Menschen vermehren und Familiengeschichten und Abstammungslinien haben.",C2,unknown,22,,,C2,49.15
Das gilt für die islamischen Kalifen ebenso wie für die christlichen Päpste.,C2,unknown,12,,,C2,84.68
"Wer kommt für die Kosten auf, wenn plötzlich bis zu 10-mal mehr Rechner von den Schulen gekauft werden müssen?",C2,unknown,19,,,C2,77.57
Die Angriffe von den rechtspopulistischen Leuten ließen uns völlig niedergeschlagen zurück.,C2,unknown,11,,,C2,60.31
"Nein, da sich die Preisspirale für die technischen Geräte weiter nach unten drehen wird.",C2,unknown,14,,,C2,74.19
"Die Bilder an der Wand, die man schon gar nicht mehr gesehen hatte, offenbarten wieder ihre Geschichten.",C2,unknown,17,,,C2,79.6
"Mit einem virtuosen Salto-Hochwurf und einem anmutigen Écarté-Hochwurf habe ich mit leidenschaftlichem Eifer, der fast an Besessenheit grenzt, versucht, meinen Tanzenthusiasmus in den Kölner Karnevalstanz einfließen zu lassen.",C2,unknown,28,,,C2,43.06
"Hingegen verarbeiten und speichern Inselbe- gabte in einzelnen Teilbereichen jede eingehende Information, ob relevant oder nicht – auf Kosten der Gesamtfunktion ihres Gehirns.",C2,unknown,23,,,C2,23.77
Der Welt verdanken wir die Wiederbelebung der Olympischen Spiele der Neuzeit dem visionären Franzosen Pierre de Coubertin.,C2,unknown,17,,,C2,62.68
"Kurz vor Ostern, dem für Christen gleich nach Weihnachten bedeutendsten religiösen Fest, entfaltet sich eine besondere Atmosphäre intensiver spiritueller Erwartung.",C2,unknown,20,,,C2,17.34
"Es ist bedauerlich, dass auf YouTube manipulierte Videos veröffentlicht werden, die Kollegen auf diffamierende Weise verunglimpfen und herabwürdigen.",C2,unknown,18,,,C2,44.75
"Bis vor wenigen Jahren galt als sicher, dass die Anzahl der Nervenzellen, mit denen man zur Welt kommt, im Lauf des Lebens ständig abnimmt.",C2,unknown,24,,,C2,72.5
"Zwar haben die Menschen zu allen Zeiten immer gegen den Schmerz gekämpft, aber erst mit der Einführung von Aspirin und Äthernarkose im 19. Jahrhundert begann ein Zeitalter, in dem der Schmerz immer gezielter und zuverlässiger beseitigt und vermieden werden konnte.",C2,unknown,40,,,C2,59.64
"“ Denn, so Sandgruber: „Es ist also eigentlich fatal , wie Autodidakten – und gerade Autodidakten sozusagen mit Halbbildung – dann besonders stark auf dem verharren, was sie sich einmal angeeignet haben, und eigentlich keine Expertise von Fachleuten mehr anerkennen wollen.",C1,292,41,66.0,173.0,C2,33.92
"Forscher versuchen, gezielt in diese Vorgänge einzugreifen.",C2,unknown,7,,,C2,81.29
"Viele von ihnen sind Autisten und weisen im Durchschnitt einen Intelligenzquotien- ten (IQ) von unter 70 auf – der statistische Mittel- wert liegt bei rund 100. Ein gängiges neurobio- logisches Erklärungsmodell des Savantsyndroms geht davon aus, dass Betroffene Informationen nicht wie andere Menschen nach deren emoti- onaler Bedeutung sortieren, was normalerweise eine Informationsüberflutung verhindert sowie schnelle und intuitive Reaktionen ermöglicht.",C2,unknown,60,,,C2,33.07
"Fernsehsoziologen sprechen in solchen Fällen von ""parasozialen Kontakten"": der emotionalen Bindung an Personen, die wir gar nicht kennen, ja die nicht einmal existieren müssen und dennoch fester Bestandteil unserer alltäglichen Lebenswirklichkeit sind.",C2,unknown,32,,,C2,39.0
"Wenn wir Lehrer untereinander ohne Scheu und falsche Scham die Karten auf den Tisch legen, müssen wir alle zugeben, dass unser Alltag von permanenter Angst begleitet wird.",C2,unknown,27,,,C2,60.99
Öffnen wir den Intelligenz-Container einen Spalt weit und lassen die Eingeschlossenen frei.,C2,unknown,12,,,C2,42.38
"Doch gegenüber dieser Nähe steht die Angst vor der eigenen Verwundbarkeit: Auf der einen Seite macht sie es mir zum Menschen und ich sehe mich danach, von den anderen in meiner einzigartigen Sosein mit allen Schwächen anerkannt zu werden; auf der anderen Seite aber bin ich ständig bemüht, meine „Schwächen“, meine „wunden“ Stellen zu kaschieren und zu verstecken, um mich unangreifbar zu machen.",C2,unknown,63,,,C2,32.91
"Die düsteren Städte Europas werden nächtens abgeriegelt, es herrscht permanente Ausgangssperre.",C2,unknown,11,,,C2,68.77
"Daher erliegen all jene einer trügerischen Vorstellung, die glauben, in emotional aufwühlenden Situationen böte eine Zigarette den erhofften Ausgleich.",C2,unknown,19,,,C2,35.27
"Soziale Hemmungen fallen, ihre Laune ist euphorisch, Sexualität wird hemmungslos aus- gelebt.",C2,unknown,12,,,C2,42.38
"1992 beobachtete Frank Baldino, Pharmakologe und Gründer des Pharmakonzerns Cephalon, bei Versuchen mit Labormäusen Erstaunliches: Die nachtaktiven Nagetiere blieben den ganzen Tag hellwach – vorausgesetzt der Forscher behan- delte sie mit einem Medikament, das eigentlich gegen Depressionen entwickelt worden war.",C2,unknown,40,,,C2,31.89
"Die Lehreinheit beenden Sie mit der Abgabe eines eigenen Textes, den Ihr Lektor begutachtet.",C2,unknown,14,,,C2,74.19
"Du müsstest also die Kinder abholen und bis zum Eintreffen eines Elternteils mit ihnen spielen, Sport treiben, Essen machen, auch mal ins Bett bringen - sie also betreuen.",C2,unknown,28,,,C2,52.53
"Das Konzept, dass sich mehrere Schüler im Laufe eines Schultages einen Computer teilen können, würde einer bedarfsorientierten Verteilung entsprechen.",C2,unknown,19,,,C2,60.65
"Das Rauchen verkörpert zwar für viele ein bestimmtes Lebensgefühl, stellt jedoch zugleich eine gefährliche Sucht dar, die unweigerlich gesundheitliche Schäden verursacht und potenziell tödlich enden kann.",C2,unknown,26,,,C2,53.55
"Weil reißerische Negativschlagzeilen eine größere Anziehungskraft ausüben, lässt sich die Klickrate deutlich erhöhen und die Zahl der Nutzer signifikant steigern.",C2,unknown,20,,,C2,76.56
Darf man in der eigenen Unruhe herumrühren?,C2,unknown,7,,,C2,81.29
Selbst in der Erinnerung der Passanten bleiben keine Bilder zurück.,C2,unknown,10,,,C2,78.25
"Zweitens scheint es den meisten, die ihren Ärger oder ihre Verachtung für die Dummen ausdrük- ken wollen, schwerzufallen, zwischen Alltag und Klinik zu unterscheiden.",C2,unknown,24,,,C2,30.2
"So wie Textilien primär Menschenverpackungen sind, sind Gebäude in dieser Denkweise eine Umverpackung von Menschen, ein Auto eine Transportverpackung für Menschen, ein Schuh eine Fußtransportverpackung und dergleichen mehr.",C2,unknown,28,,,C2,34.6
"Nur wenn ich mit meiner Verwundbarkeit meinen Gegenüber antreue, und nur wenn der andere von meiner Verletzlichkeit weiß, kann eine wirkliche Beziehung entstehen.",C2,unknown,23,,,C2,65.05
"Vor dem Kriegs- gericht gaben die Anwälte der Piloten an, ihre Mandanten hätten zur Zeit des Unfalls unter dem Einfluss des Amphetamins Dexedrin gestanden, welches US-Streitkräfte schon seit dem Zweiten Weltkrieg einsetzen, um ihre Truppen leistungsfä- higer zu machen.",C2,unknown,39,,,C2,40.35
"Würde man diesen Ansatz beachten, so wäre die Gesundheits- und Umweltverträglichkeit der ""Umverpackung Haus"" weit besser.",C2,unknown,16,,,C2,80.62
Das Fehlen einer Kultur der Rückmeldung verweist auf ein Verhaftetsein der Schulstrukturen in autoritären Mustern.,C2,unknown,15,,,C2,47.79
"Nein, als ich damals “auf Lehramt” studierte, steckte ich voller Ideale.",C2,unknown,11,,,C2,94.15
"Später wird ein Arzt sagen, dass sie damit niemals hätte laufen können - schon gar nicht durch einen Dschungel.",C2,unknown,19,,,C2,95.51
"Sie kamen aus den fünf Oberliga-Klassen, der bis dahin höchsten Spielklasse im westdeutschen Fußball, denen Klubs aus den Regionen Süd, Südwest, West, Nord und Berlin angehörten.",C1,314,26,42.0,156.0,C2,62.01
"Erhielten die Patienten vor dem ersten Durchgang eine einzelne Dosis D-Cycloserin, beschleunigte sich der Therapie- effekt dramatisch; ein signifikanter Unterschied zur Behandlung mit einem Scheinmedikament war noch Monate später festzustellen.",C2,unknown,30,,,C2,32.57
"Bereits in Urzeiten haben Schmerzäußerungen empathisches Verhalten ausgelöst und tun es noch heute: Wer das Gesicht verzerrt oder ausschreit, bekommt in der Regel Aufmerksamkeit, Zuneigung, Hilfe.",C2,unknown,26,,,C2,45.09
"Obwohl solche Menschen oft nur einen IQ von 50 erreichen, erbringen manche von ihnen sensationelle Leistungen.",C2,unknown,16,,,C2,46.78
"Der Wall-Street-Börsenmakler Andrew Tong erregte 2007 mit der Enthüllung Aufsehen, von seinem Chef zur Einnahme leistungssteigernder Phar- maka gezwungen worden zu sein.",C2,unknown,22,,,C2,40.69
Dies brachte Cephalon 2002 eine Rüge durch die amerikanische Aufsichtsbe- hörde FDA ein.,C2,unknown,13,,,C2,92.12
"In den umgebenden Agglomerationen hingegen hat eine neue, radikale Architektur alle Freiheiten, die endlich genutzt werden sollten.",C2,unknown,17,,,C2,37.3
"Doch was sie sehen, führt bei den Tieren zu großer Verstörung.",C2,unknown,11,,,C2,94.15
"Obwohl es auf den ersten Blick umfangreich erscheint, zeugt die erforderliche Aufarbeitung von beeindruckenden 100 Quadratmetern Buntglas von einer bemerkenswerten Herausforderung.",C2,unknown,21,,,C2,24.78
"Wenn das Gas aus der Leitung nicht wohldosiert verbrennt, sondern schlagartig entweicht, verpufft die Energie ungenutzt und verursacht auch immer wieder Explosionen mit Verletzten und Toten.",C2,unknown,26,,,C2,36.63
"Lobt man also eine Serie wegen ihres Realismus, so sollte man nicht vergessen, dass die gefühlte Übereinstimmung zwischen Erzählung und Wirklichkeit ihrerseits eine Vorgeschichte hat: Die echten Gangster und Polizisten, die sich in der fiktiven Welt einer Serie wie The Wire wiedererkennen, tun das auch deshalb, weil sie sich im echten Leben genau solche ""Räuber und Gendarm""-Shows anschauen.",C2,unknown,58,,,C2,21.07
Brauchen werden wir dich ab Anfang des kommenden Jahres.,C2,unknown,9,,,C2,87.72
Dennoch wird die neurobiologische Forschung vom Einsatz entsprechender Mittel überrollt – und es stellen sich viele ethische und rechtliche Probleme: Wer darf Zugang zu solchen Medika- menten haben?,C2,unknown,28,,,C2,44.07
"Merkwürdig, daß das vieltausendjährige Zusammenleben mit Hund, Schaf, Rind, Ziege, Pferd und anderen Gefährten die Menschheit nicht eines Besseren belehrt hat, ganz zu schweigen von unserer näheren Verwandtschaft, den Primaten.",C2,unknown,30,,,C2,57.95
Denn schließlich verlangte er später von Millionen seiner Untertanen lupenreine Abstammungsnachweise .,C1,292,12,22.0,131.0,C2,18.01
"Während der Kriegsjahre in Syrien hatten die Schwalben darauf bestanden, jedes Jahr an denselben Ort zurückzukehren, trotz der großen Wahrscheinlichkeit, dass die Gebäude dort jederzeit zerstört werden könnten oder bereits dem Erdboden gleichgemacht waren.",C2,unknown,34,,,C2,45.43
"Die Schwalben wie auch die Menschen suchen nach Wärme und Geborgenheit, spüren die Sehnsucht nach der Heimat und nach all den geliebten Menschen.",C2,unknown,23,,,C2,73.51
"Dennoch verraten sie uns, welche Konventionen einer Gesellschaft zur Verfügung stehen, um sich von der eigenen Wirklichkeit zu erzählen.",C2,unknown,19,,,C2,52.19
"Was haben diese Heimatländer an sich, dass wir mit Sehnsucht, Traurigkeit und Erinnerungen überfordert und belastet sind?",C2,unknown,17,,,C2,71.14
Die zweite hier zu skizzierende Architekturstrategie betrifft den Umgang mit der alten Stadt.,C2,unknown,13,,,C2,58.28
"Bereits zugelassen sind Präparate, die eigentlich den geistigen Abbau infolge einer Alz- heimerdemenz verlangsamen sollen.",C2,unknown,15,,,C2,56.25
"Immer war da meine Angst beim lauten Zuknallen einer Autotür, dass der Geheimdienst kommt, um mich zu holen…

Nachdem ich nach Deutschland gekommen war, brauchte ich eine lange Zeit, um das Gefühl der Angst loszuwerden, wenn ich nachts das laute Knallen einer Autotür hörte.",C2,unknown,44,,,C2,52.2
"“ Jeder Metzger macht den ‚feinen Pinkel‘, die geräucherte Hafergrützwurst, anders und bewahrt sein Geheimnis, welche Zutaten und Gewürze in welchem Verhältnis in den Pinkel, die plattdeutsche Bezeichnung für den Schweine- oder Rindermastdarm, gefüllt werden.",C2,unknown,35,,,C2,45.43
Gut Ding will Weile haben.,C2,unknown,5,,,C2,117.16
Rauch- und Mehlschwalben sind Kulturfolger und damit an menschliche Siedlungen als Lebensraum gebunden.,C2,unknown,13,,,C2,49.82
"Frau Lien bot an, den mit mehreren Millionen Euro dotierten Forschungspreis zurückzugeben.",C2,unknown,12,,,C2,84.68
"Ob Busch das wirklich sagen wollte, ist nicht bewiesen, zumal die Saat gar nicht aufgehen konnte.",C2,unknown,16,,,C2,80.62
Metropolen strahlen um die Wette und verkünden: Wir haben die Dunkelheit besiegt.,C2,unknown,12,,,C2,84.68
"Er beschäftigte sich mit CREB, einem Protein, das neu gebildete Synapsen stabilisiert.",C2,unknown,12,,,C2,84.68
Sind solche Szenarien pure Fiktion – oder könn- ten sie schon bald Wirklichkeit werden?,C2,unknown,14,,,C2,83.66
"Vermutlich muss man einsehen, dass der Weg zurück zu einer bedeutungsvollen und sinnstiftenden Architektur der vergangenen Jahrhunderte im 21. Jahrhundert versperrt ist.",C2,unknown,22,,,C2,43.39
"Schön wär’s, wenn ich’s könnte.",C2,unknown,5,,,C2,100.24
"Noch vor Extremfällen abgesehen, hat der Schmerz sein Schicksal mehr, nicht das, ausgehalten oder hingenommen werden müssen, sondern eine Störung, die es möglichst schnell zu beseitigen gilt.",C2,unknown,27,,,C2,44.07
"“
Obwohl wir mit jagendem Atem im Laufschritt zum Parkplatz geeilt waren, hatten wir 25 Minuten Verspätung.",C2,unknown,17,,,C2,63.7
Bäume als Bauwerke und Bauwerke als Bäume sind selbstverständlich standortabhängig.,C2,unknown,10,,,C2,61.33
"Wenn man sich so umschaut, sind die Anforderungen enorm, sie unterscheiden sich, je nachdem, wer sie stellt, nur darin, was in den Vordergrund geschoben wird.",C2,unknown,25,,,C2,71.48
"Um die Aufgabenbereiche eines Referenten/einer Referentin wahrnehmen zu können, verfügen Sie über ein abgeschlossenes Hochschulstudium (Staatsexamen oder Master), sehr gute Kenntnisse der deutschen und internationalen Hochschullandschaft sowie verhandlungssichere Englischkenntnisse und gute EDV-Kenntnisse.",C2,unknown,32,,,C2,-3.31
"Wie immer, wenn eine junge, übermütige Disziplin auf den Plan tritt, die ihren Vorgängern den Vogel zeigt, dürfen wir von ihren Vertretern neue Erkenntnisse und neue Irrtümer erhoffen.",C2,unknown,28,,,C2,59.98
"Meine Ohren, in meinen Ohren sind die Schreie, das Einstürzen der Häuser, die Fassbomben und die Fragen: Soll ich meine Familie über das ganze Haus verteilen, damit es nicht alle trifft, damit einer überlebt?",C2,unknown,34,,,C2,70.81
"Die ortstreuen Schwalben, die aus Europa auf der Suche nach Wärme in den Nahen Osten kommen, müssen sich beruhigen und die schrecklichen Tatsachen akzeptieren, von denen sie überall überrascht werden.",C2,unknown,30,,,C2,49.49
Der Körper wird durch sportliches Training in Form gebracht oder durch chirurgische Eingriffe korrigiert und ver- schönert.,C2,unknown,17,,,C2,54.22
"Ihre Eltern waren nach Peru ausgewandert, weil ihre Mutter, Maria Koepcke, als Ornithologin dort die reiche Vogelwelt erforschen wollte, und ihr Vater, Hans-Wilhelm Koepcke, an ganzheitlicher Ökologie interessiert war.",C2,unknown,29,,,C2,42.04
Bei nachgewiesener künstlerischer Eignung kann vom Schulabschluss abgesehen werden.,C2,unknown,9,,,C2,11.58
"Große Städte werden in der öffentlichen Wahrnehmung in zwei Bereiche aufgeteilt: Zum einen gibt es die weitläufigen Vorstadtbezirke, die oft direkt an die historische Bebauung aus den 1920er oder 1930er Jahren anschließen.",C2,unknown,32,,,C2,64.38
"Bemerkenswert ist, dass lediglich ein Zehntel der Einnahmen in den Ursprungsländern des Kaffeeanbaus verbleibt, die sich in Süd- und Mittelamerika, Asien sowie Afrika befinden.",C2,unknown,24,,,C2,55.58
"Man bekommt den Eindruck, dass Planungsämter die Ordnung der Stadt in den Einfamilienhausbezirken retten wollen, nachdem sie jeden Einfluss in den Innenstädten verloren haben.",C2,unknown,24,,,C2,47.12
"Die Tatsache, dass dann doch Frauen zu den Spielen zugelassen wurden, dass die Spiele für sie geöffnet wurden wie eine geschlossene Tür, soll – so Manfred Lämmer – ein Grund für seinen Rücktritt als langjähriger IOC-Präsident im Jahr 1925 gewesen sein.",C1,288,41,56.0,172.0,C2,57.27
"Dieses Gefühl entsteht vielleicht nicht in den inneren Zirkeln der Metropolen, deren Zentren immer noch faszinieren können.",C2,unknown,17,,,C2,71.14
"Wissenschaftler halten darin fest, dass neue Siedlungen und Shoppingcenter auf der „grünen Wiese“ im Widerspruch stehen zu den Zielen der deutschen Nachhaltigkeitsstrategie: Sie verbrauchen Fläche, zerschneiden Landschaften, verlängern Verkehrswege und führen zu steigenden CO2-Emissionen.",C2,unknown,34,,,C2,28.51
"Für 50. 000 Goldmark hatte er sämtliche Rechte an seinen Bildergeschichten abgetreten, um die letzten 13 Jahre zurückgezogen hinter langem Bart und unter einem tief ins Gesicht gezogenen Hut in einem kleinen Dorf zu verbringen.",C1,284,35,49.0,164.0,C2,52.87
"Es ist eine Erfolgsgeschichte, die ihresgleichen sucht.",C1,314,7,12.0,119.0,C2,55.91
Der wachsenden Beliebtheit von Neuroenhan- cern steht allerdings ein Mangel an wissenschaft- lichen Fakten gegenüber: Selbst für die ver- breitetsten Medikamente lässt sich oft nur eine geringe leistungssteigernde Wirksamkeit zeigen.,C2,unknown,30,,,C2,49.49
Doch Doping mittels pharmakologischer Wach- macher birgt auch Gefahren: 2002 töteten zwei amerikanische Piloten unbeabsichtigt vier kanadische Soldaten in Afghanistan.,C2,unknown,20,,,C2,25.8
"Insofern ist das Stück eine bittere soziale Anklage gegen die vollgefressene dörfliche Bourgeoisie, gegen eine Witwe Bolte, die es sich leisten kann, vier Hühner alleine zu essen.",C1,284,27,48.0,157.0,C2,60.99
"Zum einen ist das Vokabular, das zur Verfügung steht, wenn es um Defizite geht, weit umfangreicher als jenes, das unsere vorteilhafteren Gaben beschreibt.",C2,unknown,23,,,C2,48.13
"Könnte man nicht ein Gebäude konzipieren, das z. B. Sauerstoff herstellt, die Luft reinigt, Kohlenstoff speichert, Wasser reinigt und speichert, Lebewesen vielfach Heimat bietet, ausschließlich Solarenergie nutzt, sich selbst vervielfältigt und die dabei entstandenen hochwertigen Substanzen wieder in Kreisläufe zurückbringt, die Farben mit den Jahreszeiten wechselt?",C2,unknown,46,,,C2,48.13
"Die anstatt durch weise Lehren, sich zum Guten zu bekehren, oftmals noch darüber lachten und sich heimlich lustig machten.",C1,284,19,30.0,138.0,C2,86.03
"Wie Nico Winkelmann vom Traditionsrestaurant „Bümmersteder Krug“ bekräftigt, scheint es in Oldenburg tatsächlich der Fall zu sein, dass nahezu jedes Kind mit Grünkohl groß wird.",C2,unknown,25,,,C2,46.1
"Nicht zu vergessen ist, dass wir den Übergang zur Ganztagsschule meistern, die Umstellung auf das Abitur nach 12 Jahren mit Einfallsreichtum und Erfolg erledigen und bei der nächsten Pisa-Studie ein paar Plätze vorrücken.",C2,unknown,33,,,C2,46.44
"Im Mittelpunkt der Untersuchung steht die Vegetation in Gebieten, die Stille erfahren, nachdem Lärmquellen entfernt wurden, sowie in solchen, die bereits vor Beginn der Studie permanentem Lärm durch Erdgasbohrungen ausgesetzt waren.",C2,unknown,31,,,C2,23.09
"Angesichts der bestehenden Wettbewerbsbedingungen ist es für jeden Mitarbeiter unerlässlich, den Kunden mit einer gewissenhaften und professionellen Haltung entgegenzutreten.",C2,unknown,19,,,C2,-7.04
"Der Kontrollverlust, dass Schüler frei und unmittelbar mit der Außenwelt kommunizieren können, stellt für Schulen und ihre Kultur eine Zäsur dar.",C2,unknown,21,,,C2,50.16
"Wer heute operiert wird, erlebt keine Tortur wie noch vor 200 Jahren, als chirurgische Eingriffe ohne Betäubung durchgeführt wurden.",C2,unknown,19,,,C2,69.11
"Bislang ist jedoch noch völlig unklar, welche Nebenwirkungen dabei auf- treten können.",C2,unknown,12,,,C2,59.3
"Die Vermittlung der literaturpraktischen Fähigkeiten dient der Erarbeitung und Entwicklung einer individuellen Schreibfähigkeit und Stilsicherheit und soll die Studierenden befähigen, selbstständig literarische Texte zu verfassen.",C2,unknown,25,,,C2,3.8
"Mit der neuen, gläsernen Architektur, egal ob der Moderne oder der Postmoderne zugehörig, lassen sich keine Geschichten mehr erzählen.",C2,unknown,19,,,C2,69.11
"Zukünftige Generationen werden überlegen, ob sie noch in den Siedlungen, die schon Alfred Mitscherlich 1965 in „Die Unwirtlichkeit unserer Städte“ kritisierte, wohnen wollen.",C2,unknown,23,,,C2,39.67
"Ich versuche, nicht in meiner Unruhe zu rühren, weil ich gelernt habe, dass die Ostfriesen den Tee nicht umrühren dürfen, um den Kandiszucker unten und die Sahne oben nicht zu vermischen.",C2,unknown,31,,,C2,48.47
"Trotzdem setzt sich im 20. und 21. Jahrhundert die Gleichung, Licht sei das Synonym für Produktion, Fortschritt und Wohlstand, also Macht, weiter fort, doch den Wettstreit um die prächtigste Skyline, den funkelndsten Wolkenkratzer, die hellste Stadt der Welt tragen die aufstrebenden Staaten des Ostens unter sich aus.",C2,unknown,47,,,C2,64.54
"D-Cycloserin bin- det an Glutamatrezeptoren im Gehirn und fördert die Vernetzung von Synapsen, wie Hirnschnitte in Tierexperimenten zeigten.",C2,unknown,18,,,C2,44.75
"Die antike Gesellschaft unterschied klar zwischen Tätigkeiten: Für Sklaven und Frauen bedeutete Arbeit, während die Muße einzig den freien Männern zustand, wie der Historiker und Publizist Eberhard Straub im Hinblick auf die kulturellen Normen jener Zeit verdeutlicht: ‚Selbstverständlich sollte der Mensch das Privileg besitzen, gelegentlich untätig zu sein.‘",C2,unknown,48,,,C2,22.76
Mit einem Jahresbudget von cirka 300 Millionen Euro fördert er rund 55000 Personen im In- und Ausland in verschiedenen Programmen und Projekten.,C2,unknown,22,,,C2,40.69
"Und dadurch nach der Problembeschreibung, die nach wie vor ganz, ganz wichtig ist, noch einen Schritt weiter gehen und eben auch über Lösungen sprechen, Lösungen diskutieren, Menschen nach diesen Lösungsansätzen fragen und eben auch immer darüber nachzudenken, wie wir ein bestimmtes Problem vielleicht beheben können und welche Gegenmaßnahmen es geben könnte.",C1,290,51,71.0,187.0,C2,28.17
Meine Frau wollte mit mir in die Stadt fahren und einige Dinge für den Haushalt sowie einen Fleischwolf kaufen – Es gab ein für jeden Schnäppchenjäger verlockendes Angebot in der Zeitung.,C2,unknown,31,,,C2,74.87
"Und drittens gibt die Hartnäckigkeit zu denken, mit der alle möglichen Tiere zum Vergleich heran- gezogen werden, ganz so, als hätte die Evolution außer uns nur bedauernswerte Mängelwesen hervorgebracht.",C2,unknown,29,,,C2,42.04
