sentence,difficulty,sentence_length
"Die traditionelle Schuld-Denkweise führt zu hässlichen, zerstörungsminimierenden Schuld- und Gebäudekomplexen.",C2,10
"Bereits zugelassen sind Präparate, die eigentlich den geistigen Abbau infolge einer Alz- heimerdemenz verlangsamen sollen.",C2,15
"Der Schock führte wohl dazu, dass die Wunden an Oberarm und Bein kaum bluteten, und verdeckte auch die beiden unsichtbaren Verletzungen: Bei ihrem Fall brach sie sich das Schlüsselbein.",C2,29
"“ Ich war stocksauer, dass da jetzt so ein Schein unter dem Scheibenwischer klemmte.",C2,14
"Nur in Zusammenarbeit aller Verantwortlichen kann man es schaffen, dass der PC als Lerninstrument Einzug findet, um so die heutige Schülergeneration erfolgreich auf das Berufsleben vorzubereiten.",C2,26
"Wie schmerzhaft und seltsam es ist, wenn man Sehnsucht nach sich selbst hat!",C2,13
Neben einem reduzierten Schlafbedürfnis wurden bisher keine weiteren positiven kognitiven Effekte nachge- wiesen.,C2,13
"Für den erwachsenen Testteilnehmer stehen einschlägige Ratgeber, Kurse und Seminare bereit, um ihn auf einen erfolgreichen Testablauf hin zu trimmen.",C2,20
"Die Möglichkeiten für die Lehrkräfte, Innovationen aufzunehmen und in den Unterrichtstag einzubinden, sind immer noch zu gering.",C2,17
Die Metropole versinkt im Dunkel und wird komplett lahmgelegt: Eine Stunde nach dem Blackout geht nichts mehr in der Hauptstadt des Fortschritts.,C2,22
"Viele von ihnen sind Autisten und weisen im Durchschnitt einen Intelligenzquotien- ten (IQ) von unter 70 auf – der statistische Mittel- wert liegt bei rund 100. Ein gängiges neurobio- logisches Erklärungsmodell des Savantsyndroms geht davon aus, dass Betroffene Informationen nicht wie andere Menschen nach deren emoti- onaler Bedeutung sortieren, was normalerweise eine Informationsüberflutung verhindert sowie schnelle und intuitive Reaktionen ermöglicht.",C2,60
"Ich weiß natürlich, dass ein guter, integrierter Syrer Prioritäten setzen sollte und früher und vor allem ausreichend viele Münzen in einen Parkautomaten werfen sollte.",C2,24
"So bietet sich am Ende unserer kleinen Führung durch den Irrgarten der Intelligenz ein einfacher Schluß an: Wir sind eben nicht intelligent genug, um zu wissen, was Intelligenz ist.",C2,29
"Der Fluchtweg von Homs war sehr gefährlich, die Straßen waren mit den Überresten von zerstörten Bussen und Fahrzeugen gesäumt und überall lauerten Scharfschützen.",C2,23
"Dadurch ergeben sich neue Nutzungsmöglichkeiten, die in unserem Alltag immer unverzichtbarer werden.",C2,12
"Dort, wo es um die Dummheit geht, herrscht aber durchgehend ein be- leidigender Ton.",C2,14
Aus diesen Gründen sind die meisten 1:1-Projekte an Regelschulen auch Projekte auf Zeit gewesen und konnten sich nicht dauerhaft installieren.,C2,20
"Die Bomben auf Belgrad haben gezeigt, wie schnell aus einer sogenannten humanitären Intervention eine brachiale Verfolgung eigener machtpolitischer Interessen wird – das kommt dabei heraus, wenn man anfängt, sich einzumischen.",C2,30
"Die Forscherin entschuldigte sich bei ihren Mitarbeitern, der Universität sowie der Öffentlichkeit und erklärte ihren Rückzug aus der Wissenschaft.",C2,19
"Wir könnten uns aber auch an die eigene Nase fassen und überlegen, wie wir gegen das oben genannte Duckmäusertum angehen können ebenso wie gegen die vielfältigen Arten des Dampfablassens in den anonymen Weiten des weltweiten Netzes.",C2,36
"Wie immer, wenn eine junge, übermütige Disziplin auf den Plan tritt, die ihren Vorgängern den Vogel zeigt, dürfen wir von ihren Vertretern neue Erkenntnisse und neue Irrtümer erhoffen.",C2,28
"Und wie soll ich prozessual beraten, wenn Teile der Kommunikation in einem nicht zu kontrollierenden Raum stattfinden?",C2,17
Darf man in der eigenen Unruhe herumrühren?,C2,7
"Eigentlich müsste ich mich mit meinem Beruf nicht verstecken, könnte stolz auf ihn sein.",C2,14
2 210 500 800. Dabei schien er auf Grund seiner verminderten Intelligenz auf den ersten Blick nicht einmal richtig zählen zu können.,C2,22
Zwar werden auch die nicht unkritisch gesehen; an allerhand Vorbehalten fehlt es nicht; auch Neid und Häme spielen eine Rolle.,C2,20
"Durch ein künstliches Innenohr, ein Cochlea-Implantat, können Gehörlose wieder hören, und über ein »Brain-Machine-Interface« lernen Amputierte, künstliche Gliedmaßen allein durch ihre Hirnaktivität zu steuern.",C2,24
"Wir haben keine Sehnsucht mehr nach unserer jetzigen Heimat, wir haben Sehnsucht nach den Erinnerungen, nach der Vergangenheit.",C2,18
"Es dürfte auf der Hand liegen, daß es sich dabei keineswegs um Synonyme handelt.",C2,14
Ich fühlte mich damals regelrecht durch den Fleischwolf gedreht.,C2,9
"Ich versuchte, bei ihr gut Wetter zu machen: „Lass die Sau raus und mach kein Affentheater!",C2,16
"Hier gibt es noch Bauten, an deren Fassaden man ganze Epochen ablesen kann.",C2,13
"Die Schwalben müssen neue Wohnorte und Nester suchen, was die Schwalben jedoch traurig macht, da sie eine gute Beziehung zu den hier lebenden Menschen aufgebaut hatten.",C2,26
"Wie eingangs bereits erwähnt, ist auch in amerikanischen Highschools und Univer- sitäten die Einnahme von Methylphenidat (Rita- lin) zur Leistungssteigerung weit verbreitet.",C2,22
Über fünfhundert Millionen solcher Prüfungen müssen Kinder und Erwachsene allein in den Vereinigten Staaten alljährlich über sich ergehen lassen.,C2,19
"Oder bilden die standardisierten Einfamilienhäuser nur noch den Rahmen für eine Gesellschaft, in der auch das Leben standardisiert ist?",C2,19
"Da vielfach Produkte, die in Innen räumen verwendet werden, im Allgemeinen nicht dafür hergestellt werden, sondern sich an den Kosten orientieren, führt diese Vorgehensweise zu drastischen Gesundheitsbeeinträchtigungen.",C2,27
"Auf dem Tisch stand eine große, schöne Ostfriesenrose-Porzellankanne auf einem Stövchen, daneben ein Schälchen mit Kluntjes und Zange und eines mit Sahne und einem komischen Löffel, dem Rohmlepel.",C2,28
"Wenn der Mensch sich nicht mehr spürt, wenn er keinen Zugang mehr zu seinen eigenen Gefühlen hat, beginnt er, sich selbst zu traktieren, weil der Schmerz besser ist als der Tod: Extremspot, Lippierungen oder Ganzkörperverletzungen – es scheint, als sehnten wir uns regelrecht nach dem Schmerz.",C2,46
"Die bisher solitären,,Lichtinseln"" einer Stadt verschmelzen zu einem viel stärker zusammenhängenden Lichtraum, der vergleichsweise nur noch vereinzelt düstere Nischen erlaubt.",C2,20
"“

Ich habe euch das Geheimnis verraten, dass ich an jenem Tag das erste Mal ein schonungsloses Knöllchen über 10 Euro in Deutschland erhalten hatte.",C2,25
"Mit der neuen, gläsernen Architektur, egal ob der Moderne oder der Postmoderne zugehörig, lassen sich keine Geschichten mehr erzählen.",C2,19
"Doch diese einzigartigen Neubauten, die sich ins Gedächtnis der Betrachter einprägen, bleiben einsame Leuchttürme in einer Wüste.",C2,17
"Ihre Eltern waren nach Peru ausgewandert, weil ihre Mutter, Maria Koepcke, als Ornithologin dort die reiche Vogelwelt erforschen wollte, und ihr Vater, Hans-Wilhelm Koepcke, an ganzheitlicher Ökologie interessiert war.",C2,29
"Und die braucht – neben Bier – das richtige hochprozentige Getränk, meint Erwin Abel: „Zum Korn gibt’s an sich noch die alte Tradition, wie man so schön sagt auf Plattdeutsch: ‚een vorwäg, een twischendör und een achteran‘.",C2,37
"Ich glaube, kaum ein Berufsstand wurde in den vergangenen Jahren so stark angegriffen wie der der Lehrer.",C2,17
Man stellte uns an den Pranger.,C2,6
"Erhielten die Patienten vor dem ersten Durchgang eine einzelne Dosis D-Cycloserin, beschleunigte sich der Therapie- effekt dramatisch; ein signifikanter Unterschied zur Behandlung mit einem Scheinmedikament war noch Monate später festzustellen.",C2,30
"Es geht also um Fundamentales wie Dialoggestaltung, Technik der Beschreibung, Erzählperspektiven, um die grundlegenden Werkzeuge der Sprache.",C2,17
"In der Luft lag der Kaffeeduft aus dem Café nebenan, als Lockvogel, der uns zum Kaffeetrinken verleiten wollte.",C2,18
"Wie Sancho Panza und Don Quijote gegen Windmühlen kämpften, kämpfen wir bis heute mit dieser schwierigen Sprache.",C2,17
"Wie existenziell die Verbindung des Menschen zum Schmerz ist, zeigt sich letztendlich auch darin, dass wir ihn bisweilen uns selbst zufügen.",C2,21
Er praktizierte – so Bach – eine Pädagogik durch Sport ganz nach dem Motto „In einem gesunden Körper wohnt ein gesunder Geist“.,C2,22
"Man könnte aus vielen Gründen glauben, daß die Konjunktur der Intelligenzmessung ihren Höhe- punkt überschritten hat.",C2,16
"Im Zentrum erleben wir den Ort, der Geschichten erzählt, der nicht zuletzt Identität generiert.",C2,14
"Unser Lachen, unsere Geschichten und Erinnerungen fließen von den Räumen über die Haustüren auf die Straße und überschwemmen die ganze Welt.",C2,21
"Trotzdem hat sich die neue Bundesrepublik Deutschland 1999 unter amerikanischem Druck an der militärischen Einmischung auf der Balkan-Halbinsel beteiligt, obgleich kein Beschluss des Sicherheitsrats vorlag und die „humanitäre Intervention“ folglich einen Verstoß gegen die Charta der Vereinten Nationen darstellt.",C2,39
"Wenn ich nämlich von Leuten, die ich gerade kennengelernt habe – im Urlaub, auf einer Party, in einem Kurs –, nach meinem Job gefragt werde, kommt mir dieser Satz „Ich bin Lehrerin“ stets wie ein Bekenntnis vor, wie ein Bekenntnis zu etwas Negativem, ungefähr ähnlich dem Bekenntnis zu einem Laster wie dem Rauchen oder Schlimmerem.",C2,55
Ist das nicht noch teurer als das bereits heute unfinanzierbare Eins-zu-eins-Modell?,C2,11
Das tatsächliche Bauvolumen der Städte besteht nur zu einem geringen Teil aus solchen Vorzeigeprojekten.,C2,14
"Ist der Schwarze hemmend, fördert Grüner die Chancen?",C2,8
"Vor dem Kriegs- gericht gaben die Anwälte der Piloten an, ihre Mandanten hätten zur Zeit des Unfalls unter dem Einfluss des Amphetamins Dexedrin gestanden, welches US-Streitkräfte schon seit dem Zweiten Weltkrieg einsetzen, um ihre Truppen leistungsfä- higer zu machen.",C2,39
Sie respektieren und fördern Vielfalt von natürlichen Lebensformen ebenso wie von lokalen kulturellen Gegebenheiten.,C2,14
"Was aber damals das Fass zum Überlaufen brachte, war das, was auf dem Knöllchen stand: „Tatort, Zeit, Tat-Vorwurf“.",C2,18
"Vor dem Lenker sitzt der auf zwei Autorädern montierte , mit Planen geschützte Aufbau und den beiden kleinen, mit Kerzen bestückten Laternen.",C2,22
"Andere Savant-Autisten erinnern sich an jedes einzelne Detail ihres Lebens, einschließ- lich aller Speisen, die sie gegessen, oder jedes Regenschauers, den sie erlebt haben.",C2,24
"Seit fast vier Jahren kämpft sie dafür, dass die Forschungsstation der Eltern zum Naturschutzgebiet erklärt wird.",C2,16
"Ich wiederholte all das Gesagte, wunderte mich, dass mein Sohn schon so viele deutsche Wörter gelernt hatte, vergaß keines der Dinge, die sie genannt hatten, denn ich kannte sie alle, und ergänzte: „Und mein Fenster im Arbeitszimmer mit dem Blick auf das Nachbarhaus und die Eukalyptusbäume “.",C2,47
"Es gibt viel weniger Insekten, die Schwalben sind hier bedroht, von der leisen, sauberen Zivilisation, nicht vom Krieg.",C2,18
"Wie würden Sie reagieren, wenn Ihnen zu Ohren käme, dass Kollegen dies tun?",C2,13
"So war zum Beispiel die militärische Intervention im Irak 2003, noch dazu lügenhaft begründet, eindeutig ein Verstoß gegen das Prinzip der Nichteinmischung, ein eklatanter Verstoß gegen die Satzung der UN, an dem Politiker vieler Nationen mitschuldig sind.",C2,37
"Soziale Schieflagen, strukturelle Verkrustungen, überfrachtete Lehrpläne, Einsparmaßnahmen an allen Ecken und Enden?",C2,12
"Das bestätigte mir vor Kurzem eine Umfrage, die die Wochenzeitung “Die Zeit” in Auftrag gegeben hatte.",C2,16
Mediengeschichtlich sind derartige Verschiebungen nichts Neues.,C2,6
Rolipram und ähnlich wir- kende Medikamente befinden sich derzeit in frühen Phasen der klinischen Prüfung am Men- schen.,C2,18
"Savants können auf manchen Gebieten außergewöhnliche Leis- tungen erbringen, obwohl ihre übrigen geistigen und sozialen Fähigkeiten meist erheblich einge- schränkt sind.",C2,21
"Wer kommt für die Kosten auf, wenn plötzlich bis zu 10-mal mehr Rechner von den Schulen gekauft werden müssen?",C2,19
"Auch die US- amerikanische Air Force setzt große Hoffnungen in das Präparat und finanzierte deshalb gemein- sam mit Cephalon eine Studie der Harvard Uni- versity, in der 16 gesunde Probanden 28 Stunden ohne Schlaf auskommen mussten.",C2,36
Mit einem Jahresbudget von cirka 300 Millionen Euro fördert er rund 55000 Personen im In- und Ausland in verschiedenen Programmen und Projekten.,C2,22
"Sie können wachsen, neue Verbindungen zu anderen Nervenzellen aufnehmen, Synapsen können aktiviert, aber auch abgeschaltet werden.",C2,16
"Der Schauplatz ""Familie"" beispielsweise spielt trotz seines schrittweisen Rückzugs aus Sitcoms eine weiterhin wichtige Rolle in Seifenopern.",C2,17
Brauchen werden wir dich ab Anfang des kommenden Jahres.,C2,9
"Die meisten Neubauten erinnern an kleine Landhäuser – errichtet auf winzigen Grundstücken, ergänzt durch Garagenkästen, die im schlechtesten Fall direkt von der Betonindustrie auf die Parzellen gestellt werden.",C2,28
"Nein, da sich die Preisspirale für die technischen Geräte weiter nach unten drehen wird.",C2,14
"Der Reiz liegt im Vorhandensein eines Programms überhaupt, in der Vorhersehbarkeit, mit der neue Geschichten und Nachrichten regelmäßig wieder- kehren.",C2,20
"Trotzdem setzt sich im 20. und 21. Jahrhundert die Gleichung, Licht sei das Synonym für Produktion, Fortschritt und Wohlstand, also Macht, weiter fort, doch den Wettstreit um die prächtigste Skyline, den funkelndsten Wolkenkratzer, die hellste Stadt der Welt tragen die aufstrebenden Staaten des Ostens unter sich aus.",C2,47
"Caritas international, die Auslandsabteilung des Deutschen Caritasverbandes e. V. mit Sitz in Freiburg, leistet als internationale Hilfsorganisation weltweit Hilfe für Menschen in Not.",C2,23
Die Verwandlung von Special Agent Dale Cooper in einen bösartigen Dämon in der letzten Folge von Twin Peaks er- schütterte die Fans der Serie nachhaltig; das unklare Ende der Hauptfigur der Sopranos versetzte die amerikanische Fernsehnation auf Wochen hin in Aufruhr.,C2,41
"Ist der Kranke in dem Haus mit dem Garten gestorben, nachdem seine Familie so viel auf sich nehmen musste, um ihm seine täglichen Medikamenten zu besorgen?",C2,26
"Schmerzäußerungen beinhalten die Aufforderung, Empathie und Betreuung zu entwickeln, wie Zuwendung, Trost, Massage, Gebete.",C2,14
"Militärärzte versprechen sich nun, Übermüdung im Kampfeinsatz mit dem neuen Wirkstoff besser in den Griff zu bekommen.",C2,17
Vielmehr wol- len wir einen Überblick über den aktuellen Stand der Forschung im Bereich der »kosmetischen Pharmaka« geben – eine Grundvoraussetzung zur Lösung der ethischen Herausforderung des Hirndopings.,C2,28
"Das Den- ken ist langsam und träge, die Sprachproduktion gehemmt, es kommt zum sozialen Rückzug, das sexuelle Verlangen erlischt.",C2,19
"Bei all diesen Debatten spielt jedoch ein ganz anderes, vielleicht noch fundamentaleres Defizit der Intelligenzmessung eine Aschenputtel-Rolle.",C2,17
"Als nach über 24 Stunden endlich wieder Strom fließt, sind 1616 Geschäfte geplündert, 1037 Brände gelegt, 3376 Menschen verhaftet und 463 Polizisten verletzt worden.",C2,24
Selbst in der Erinnerung der Passanten bleiben keine Bilder zurück.,C2,10
"Heute weiß man, dass sich in bestimmten Hirn- bereichen neue Neurone aus Stammzellen bilden können.",C2,15
"Es gab innere Briefe von Familie und Gesellschaft, die sorgfältig gelesen werden mussten.",C2,13
Und irgendwie ist er es auch und eben nicht nur die kurze und knappe Information über meinen Beruf.,C2,18
"Dieses Gefühl entsteht vielleicht nicht in den inneren Zirkeln der Metropolen, deren Zentren immer noch faszinieren können.",C2,17
Wir suchen für diverse neu zu besetzende Positionen zum nächstmöglichen Zeitpunkt (zum Teil befristet) Referatsleiter/Referatsleiterinnen und Referenten/Referentinnen.,C2,17
"Sie haben gesagt, das sei eine besondere Art, Geschenke zu verteilen.",C2,11
"Frau Lien bot an, den mit mehreren Millionen Euro dotierten Forschungspreis zurückzugeben.",C2,12
Bis ins späte Mittelalter herrscht vor den Haustüren schwarze Nacht- eine schauerliche bedrohliche Zeit.,C2,14
Unsere ökoeffektive Konzeption geht sogar noch weiter: Wir unterscheiden zwischen biologischen Nährstoffen und technischen Nährstoffen.,C2,15
"„IQ-Tests messen nicht die Intelligenz“, sagt er, „sie korrelieren eher schwach mit ihr.",C2,13
"Doch gegenüber dieser Nähe steht die Angst vor der eigenen Verwundbarkeit: Auf der einen Seite macht sie es mir zum Menschen und ich sehe mich danach, von den anderen in meiner einzigartigen Sosein mit allen Schwächen anerkannt zu werden; auf der anderen Seite aber bin ich ständig bemüht, meine „Schwächen“, meine „wunden“ Stellen zu kaschieren und zu verstecken, um mich unangreifbar zu machen.",C2,63
"Doch wenn es ein Thema gibt, das alle Syrer in Deutschland eint, dann sind es Ärger und Ängste durch die nervenaufreibenden Briefkästen.",C2,22
Noch nach Wochen hörte ich nachts mein Fenster sagen: „Warum hast du mich zurückgelassen und bist weggegangen?,C2,17
Unter welchen Voraussetzungen ist ihr Gebrauch gerechtfertigt?,C2,7
Der wachsenden Beliebtheit von Neuroenhan- cern steht allerdings ein Mangel an wissenschaft- lichen Fakten gegenüber: Selbst für die ver- breitetsten Medikamente lässt sich oft nur eine geringe leistungssteigernde Wirksamkeit zeigen.,C2,30
"Er beschäftigte sich mit CREB, einem Protein, das neu gebildete Synapsen stabilisiert.",C2,12
"In den Altstädten droht mit jedem Neubau eine Gefahr für die Substanz, die Identität und die Funktion der alten Stadt.",C2,20
"Da waren keine Menschen mehr, die Körner auf die Fensterbänke streuten, damit sich die neu angekommenen Schwalben stärken und vom Reisen erholen konnten.",C2,23
"In immer ähnlicheren Entwürfen rund um den Globus hat eine ""McDonaldisierung"" eingesetzt: Kosten, Ästhetik, Funktion - ob in Sao Paulo, Atlanta, Frankfurt oder Shanghai, es scheint einen Standardmenschen zu geben, ebenso wie Standardumweltbedingungen.",C2,33
"Später wird ein Arzt sagen, dass sie damit niemals hätte laufen können - schon gar nicht durch einen Dschungel.",C2,19
"Dieser Vertrag enthält unsere Verpflichtung, „dass das vereinte Deutschland keine seiner Waffen jemals einsetzen wird, es sei denn in Übereinstimmung mit seiner Verfassung und der Charta der Vereinten Nationen“.",C2,29
"Ja, schon, aber letztendlich sind es dann doch wieder die Lehrer, die “Pauker”, die die Sache nicht in den Griff kriegen, sich zu wenig Mühe geben oder gar für ihren Beruf nicht geeignet sind.",C2,34
"Zukünftige Generationen werden überlegen, ob sie noch in den Siedlungen, die schon Alfred Mitscherlich 1965 in „Die Unwirtlichkeit unserer Städte“ kritisierte, wohnen wollen.",C2,23
Bei nachgewiesener künstlerischer Eignung kann vom Schulabschluss abgesehen werden.,C2,9
"Menschliche Nähe entsteht ja überhaupt nur da, wo Menschen sich als verletzlich offenbaren.",C2,13
"In Detroit entstand zur Zeit ein riesiges Grasdach für eine Produktionshalle, das durch Sturmwasserrückhaltung 30 Millionen Dollar netto an Baukosten einspart und sogar einer der am stärksten vergifteten Flüsse Amerikas nahe der Ford-Werke konnte wiederhergestellt werden.",C2,36
"Die Bewohner jeder Stadt formten eine stolze Bürgerschaft, die ihr Selbstbewusstsein in städtischer Architektur ausdrückte.",C2,15
"Ohne diesen Vertrag wäre die Vereinigung der beiden deutschen Nachkriegsstaaten nicht möglich geworden, er ist unsere völkerrechtliche Grundlage.",C2,18
"Der Gang ins Dunkel, das ist der Weg zu Kaschemmen, Bordellen, in die Armutsviertel, die heruntergekommenen Vororte, den sozialen Abstieg.",C2,20
"Die düsteren Städte Europas werden nächtens abgeriegelt, es herrscht permanente Ausgangssperre.",C2,11
Die zweite hier zu skizzierende Architekturstrategie betrifft den Umgang mit der alten Stadt.,C2,13
"Die Schwalben wie auch die Menschen suchen nach Wärme und Geborgenheit, spüren die Sehnsucht nach der Heimat und nach all den geliebten Menschen.",C2,23
"Und drittens erfährt allein die betroffene Lehrkraft die Ergebnisse, mit denen sie dann umgehen kann, wie sie will.",C2,18
Durch die Bank ignoriert werden die oft sehr beträchtlichen geistigen Fähigkeiten schizo- phrener oder autistischer Patienten.,C2,16
"Angst kommt auf vor der unheimlichen Substanz, die sich nur widerwillig für menschliche Zwecke einspannen lässt.",C2,16
"“

Aber wir können unsere Heimat der Erinnerung an den Grenzen und am ersten Flughafen nicht hinter uns lassen.",C2,19
"Nicht wegen des Beamtenstatus', der mich nicht den Unwägbarkeiten des Arbeitsmarktes aussetzt.",C2,12
"Fernsehen ist, in einem Wort, das Medium unseres Alltags: ein ""Lebensmittel"" der Moderne.",C2,13
"Wir haben in den vergangenen Jahren einen enormen Verfall der Preise von elektronischen Geräten erfahren, kombiniert mit einer ebenso enormen Leistungssteigerung.",C2,21
"Ein beliebiger Forscher aus Stanford, London oder Berlin wird mit einer der folgenden Personen konfrontiert, die seine Intelligenz einschätzen sollen: a) mit einem Inuit aus Grönland, b) mit einem Indio aus dem Amazonasbecken, c) mit einem Seefahrer aus Polynesien.",C2,39
"Der glückliche Mensch ist so greifbar wie ein Mensch im Gewicht auf freiem Feld: Jeden Moment kann der Wind ihn über die Ebene blasen, und es bedarf gerade dieser Ausgesetztheit, um die höchsten Arten des Glücks zu empfinden: der Lust, Begierde, Ekstase, Liebe und Sehnsucht.",C2,45
"Wir freuen uns über Ihre aussagekräftigen Bewerbungsunterlagen, die Sie uns bitte unter Angabe Ihres Erfahrungsprofils bezüglich Ihrer bisherigen regionalen und/oder fachlichen Schwerpunkte senden.",C2,23
"Eine Ahnung von der entscheidenden Bedeutung kultureller Unterschiede hat die Intelligenz- forscher gelegentlich beschlichen, so zum Beispiel John C. Raven, der 1956 einen sogenannten Matrizentest entworfen hat, um sprachliche oder kulturabhängige Fehlerquellen bei der Messung auszuschließen.",C2,36
"Betrachtet man die heutige Architektur, so sieht man eher die Selbstverwirklichung der Architekten im Vordergrund stehen.",C2,16
"Es gibt aber kaum noch heile Häuser in Homs, an denen sie ihre Nester bauen könnten.",C2,16
"Wir haben versucht, gemeinsam mit Kollegen ein solches ökoeffektives Konzept am Oberlin College umzusetzen.",C2,14
Trotz vieler Ankündigungen wurde bislang aber noch kein Mittel zur Verbesserung von Ler- nen und Gedächtnis bei Gesunden auf den Markt gebracht.,C2,22
"Große Städte werden in der öffentlichen Wahrnehmung in zwei Bereiche aufgeteilt: Zum einen gibt es die weitläufigen Vorstadtbezirke, die oft direkt an die historische Bebauung aus den 1920er oder 1930er Jahren anschließen.",C2,32
"Ihre Aufgaben je nach Position: Konzeption und Durchführung von Förderprogrammen für in- und ausländische Studierende, Wissenschaftler und Hochschulen, Projektmanagement, Qualitätssicherung und Evaluierung der Förderinstrumente, Kontaktpflege zu Partnerorganisationen, Geldgebern, Hochschulen und Botschaften im In- und Ausland, Erarbeitung von Stellungnahmen zu hochschul- und kulturpolitischen Fragen.",C2,43
"Würde man diesen Ansatz beachten, so wäre die Gesundheits- und Umweltverträglichkeit der ""Umverpackung Haus"" weit besser.",C2,16
"Um die Aufgabenbereiche eines Referenten/einer Referentin wahrnehmen zu können, verfügen Sie über ein abgeschlossenes Hochschulstudium (Staatsexamen oder Master), sehr gute Kenntnisse der deutschen und internationalen Hochschullandschaft sowie verhandlungssichere Englischkenntnisse und gute EDV-Kenntnisse.",C2,32
"Da die Ausstattung an Computern in der Regel unterhalb der Schülerzahlen liegt, müssen sich mehrere Schüler einen Rechner teilen – oder viele Schüler verzichten zugunsten einer kleineren, ausgewählten Gruppe.",C2,29
"In den umgebenden Agglomerationen hingegen hat eine neue, radikale Architektur alle Freiheiten, die endlich genutzt werden sollten.",C2,17
"Dass das elterliche Duckmäusertum auf die Kinder abfärbt, ist logisch – und das Internet bietet ihnen beste Rahmenbedingungen, um ihren Frust abzulassen.",C2,22
"Dennoch verraten sie uns, welche Konventionen einer Gesellschaft zur Verfügung stehen, um sich von der eigenen Wirklichkeit zu erzählen.",C2,19
"Meine Ohren, in meinen Ohren sind die Schreie, das Einstürzen der Häuser, die Fassbomben und die Fragen: Soll ich meine Familie über das ganze Haus verteilen, damit es nicht alle trifft, damit einer überlebt?",C2,34
"Hochschulabschluss in den Bereichen Geistes- beziehungseise Sozialwissenschaft oder BWL mit Erfahrungen im Sozialmarketing, möglichst Zusatzqualifikationen in einem journalistischen Arbeitsfeld beziehungseise entsprechende Berufserfahrung – einschlägige Erfahrung im Direktmarketing – sehr gute schriftliche Ausdrucksfähigkeit sowie die Fähigkeit, komplexe Sachverhalte in einfacher Sprache darzustellen – Affinität zu Themen der internationalen humanitären Hilfe – Fremdsprachenkenntnisse in mindestens zwei Sprachen – Bereitschaft zu Auslandsreisen.",C2,59
"Ein weites und reich bestelltes Feld eröffnet sich, wenn statt von der Intelligenz von ihrer Abwesenheit die Rede ist.",C2,19
"Architekten können vielleicht nicht immer Künstler sein, wie es Joseph Beuys für alle Menschen postuliert hat.",C2,16
"Der Hunger, Hunger auf der Flucht, Durst, die Kinder haben Durst, zu viele Flüchtlinge, zu wenig Wasser, Verstecken, die Grenze, Angst, Demütigungen, Grenze und Waffen, zu viele Flüchtlinge, meine Kinder, mein kleiner Sohn, er ist elf, er ist kein Kind mehr, seit er sein Zuhause und seine Spielzeuge verlassen hat.",C2,50
"Die Stoffwechselprodukte der Ameisen und Termiten betragen ein Vielfaches der des Menschen, jedoch sind sie kein Umweltproblem, da sie in Kreisläufe zurückgegeben werden.",C2,23
"Die These, dass gute Form der Funktion folge, wie es Architekten seit fast einem Jahrhundert postulieren, wird im Straßen- und Gewerbebau ad absurdum geführt.",C2,24
Für den Erfolg derartiger Kettengeschichten spielt ihre Einbindung in den Alltag eine große Rolle: Neue Aufregungen ereilen uns in regelmäßigem Rhythmus und in bekannten Erzählformen.,C2,25
"Leider muss ich zugeben, dass es diesen Machtmissbrauch einiger Kollegen gibt, aber muss man deshalb alle “Pauker” in die Schmuddelecke stellen?",C2,21
"Neben dem Autismus lässt auch eine andere psy- chiatrische Erkrankung erahnen, wie veränder- bar das menschliche Denken und Erleben sein können.",C2,21
"Nachdem Tully diese Ergebnisse ver- öffentlichte, wagte auch er den Sprung vom Forscher zum Manager und gründete die Firma Helicon Therapeutics.",C2,21
Dreierlei fällt an dieser Liste auf.,C2,6
"Man korrigiere mich, aber ich gehe fest davon aus, dass sich keine Schule mehr in Deutschland finden wird, bei der sich nicht irgendwo im Schulhaus eine Computerecke als Lernort finden lässt – ausgenommen der bewusste Verzicht auf Technologie aufgrund (überholter) pädagogischer Konzepte.",C2,42
"“ Schmerzen peinigen, sie erscheinen überflüssig und unnötig, ja lebensfeindlich.",C2,10
"“

Auch evolutionsbiologisch lässt sich die Verbindung von Schmerz und Moral stützen.",C2,12
"Das Bachelor-Studium beinhaltet ein Praktikum mit einem Arbeitsumfang von 10 Leistungspunkten, wenn das fakultätsintern angebotene fachbezogene Schlüsselqualifikationsmodul „Praktikum“ gewählt wird.",C2,20
"Durch falsch verstandenes Recycling werden neben der bisherigen Umweltbelastung zusätzliche Belastungen in Kauf genommen; beispielsweise eignen sich alte Zeitungen nicht als Dämmmaterial, da sie dafür nicht konzipiert sind, und Beton und Zement beinhalten schädliche Additive und problematische Zusatzstoffe, durch die die Kontamination der Biosphäre weiter voranschreitet.",C2,46
"Weiterhin wird eine besondere literarische Begabung vorausgesetzt, die durch Arbeitsproben und ein Eignungsgespräch im Rahmen des Eignungsfeststellungsverfahrens überprüft wird.",C2,19
"Natürlich könnten wir immer wieder auf die anderen zeigen, darüber klagen, was uns angetan wird und auf unsere kaum zu bewältigenden Aufgaben verweisen ­– die uns auch 82 Prozent der in der “Zeit”-Umfrage Befragten zugestehen – dass wir nämlich oft Erziehungsaufgaben der Eltern übernehmen müssen.",C2,45
"Die Lehreinheit beenden Sie mit der Abgabe eines eigenen Textes, den Ihr Lektor begutachtet.",C2,14
"Wieder zeigte sich, dass Personen unter Modafinil in kognitiven Tests besser abschnitten als jene, die ein Pla- cebo eingenommen hatten.",C2,20
